schedule,time_day,dose_uM,effective_exposure,A2780Naive,total_A2780cis,total
Back-loaded,2.4,0.5325874125874123,0.4404053737044053,228.59244124192708,62.72859189155563,291.32103313348273
Back-loaded,2.5,0.5325874125874123,0.45233828671180476,245.5077501775359,65.74727562078749,311.2550257983234
Back-loaded,2.6,0.5325874125874123,0.4627264908522494,263.41655181969065,68.98572240619727,332.40227422588794
Back-loaded,2.7,0.5325874125874123,0.471769947818244,282.2586198066153,72.4565677218363,354.7151875284516
Back-loaded,2.8,0.5325874125874123,0.47964273437412697,302.0350294925767,76.17303949006663,378.20806898264334
Back-loaded,2.9,0.5325874125874123,0.4864963931450531,322.759132101291,80.14886222907725,402.9079943303683
Back-loaded,3.0,0.5325874125874123,0.4924628496487143,344.4415119271513,84.39820438483332,428.8397163119846
Back-loaded,3.1,0.6456643356643353,0.512294695715406,366.76847740996556,88.93591089230772,455.7043883022733
Back-loaded,3.2,0.6456643356643353,0.5295593204799603,389.9786787077566,93.77733423998592,483.75601294774253
Back-loaded,3.3,0.6456643356643353,0.5445890492938325,414.06844748042215,98.93791240410866,513.0063598845308
Back-loaded,3.4,0.6456643356643353,0.5576731881789295,439.03103658556546,104.43329111975878,543.4643277053242
Back-loaded,3.5,0.6456643356643353,0.5690635926555879,464.85650899727887,110.27922065647864,575.1357296537575
Back-loaded,3.6,0.6456643356643353,0.5789795156889056,491.53164537487316,116.49143789423648,608.0230832691096
Back-loaded,3.7,0.6456643356643353,0.5876118280711532,519.039872485474,123.08553330063417,642.1254057861082
Back-loaded,3.8,0.6456643356643353,0.5951266924780587,547.3612145568756,130.07680266330362,677.4380172201792
Back-loaded,3.9,0.6456643356643353,0.6016687619205762,576.4722694643431,137.48008373235143,713.9523531966945
Back-loaded,4.0,0.6456643356643353,0.6073639641588738,606.3462114364221,145.30957827605093,751.655789712473
Back-loaded,4.1,0.7587412587412584,0.626959669672066,634.45719516506,153.58348640735278,788.040681572413
Back-loaded,4.2,0.7587412587412584,0.644018722144753,663.0278799755237,162.32091734054214,825.3487973160658
Back-loaded,4.3,0.7587412587412584,0.658869489884141,692.0268319512805,171.53622579861363,863.5630577498941
Back-loaded,4.4,0.7587412587412584,0.671797834105037,721.4211705816007,181.24278534020831,902.663955921809
Back-loaded,4.5,0.7587412587412584,0.6830526114490153,751.1766518250134,191.45278715581705,942.6294389808305
Back-loaded,4.6,0.7587412587412584,0.692850464205579,781.2577630597913,202.17703076154433,983.4347938213356
Back-loaded,4.7,0.7587412587412584,0.7013799904418886,811.6278299020621,213.42470884057292,1025.052538742635
Back-loaded,4.8,0.7587412587412584,0.7088053743115468,842.2491346858391,225.20318889532243,1067.4523235811614
Back-loaded,4.9,0.7587412587412584,0.7152695464219571,873.0830462071166,237.5177947768761,1110.6008409839926
Back-loaded,5.0,0.7587412587412584,0.7208969350939282,904.0901601393773,250.371591538514,1154.4617516778912
Back-loaded,5.1,0.8718181818181815,0.7404336054687449,929.5053525369781,263.7868057774127,1193.292158314391
Back-loaded,5.2,0.8718181818181815,0.7574412648684643,954.797316792901,277.7891848814051,1232.5865016743062
Back-loaded,5.3,0.8718181818181815,0.7722472923392295,979.9455465586625,292.38371954800283,1272.3292661066653
Back-loaded,5.4,0.8718181818181815,0.7851366878940724,1004.9298395541394,307.5731992664251,1312.5030388205646
