time,observed,predicted,fixed_day0_anchor,model,pooling_mode,context,cell_line,density,dose,mix,component
2.0,143.335,113.40114238974083,false,load_plus_context_amplitude,linked_global,coculture,A2780Naive+A2780cis,20k,1.0,25-75,resistant
3.0,247.62666666666667,170.33961168372076,false,load_plus_context_amplitude,linked_global,coculture,A2780Naive+A2780cis,20k,1.0,25-75,resistant
4.0,494.3083333333334,255.77594163232163,false,load_plus_context_amplitude,linked_global,coculture,A2780Naive+A2780cis,20k,1.0,25-75,resistant
5.0,903.3716666666666,383.6769830844121,false,load_plus_context_amplitude,linked_global,coculture,A2780Naive+A2780cis,20k,1.0,25-75,resistant
6.0,1360.0966666666666,574.0158691180061,false,load_plus_context_amplitude,linked_global,coculture,A2780Naive+A2780cis,20k,1.0,25-75,resistant
7.0,2438.3766666666666,852.8415319089706,false,load_plus_context_amplitude,linked_global,coculture,A2780Naive+A2780cis,20k,1.0,25-75,resistant
8.0,1945.3233333333335,823.8385080463768,false,load_plus_context_amplitude,linked_global,coculture,A2780Naive+A2780cis,20k,1.0,25-75,resistant
9.0,3250.286666666667,1015.2763389364054,false,load_plus_context_amplitude,linked_global,coculture,A2780Naive+A2780cis,20k,1.0,25-75,resistant
10.0,3135.64,1295.3787798397364,false,load_plus_context_amplitude,linked_global,coculture,A2780Naive+A2780cis,20k,1.0,25-75,resistant
11.0,3987.5866666666666,1613.369509321678,false,load_plus_context_amplitude,linked_global,coculture,A2780Naive+A2780cis,20k,1.0,25-75,resistant
12.0,2308.2483333333334,1911.9575964816934,false,load_plus_context_amplitude,linked_global,coculture,A2780Naive+A2780cis,20k,1.0,25-75,resistant
13.0,3826.773333333333,2135.4321589669285,false,load_plus_context_amplitude,linked_global,coculture,A2780Naive+A2780cis,20k,1.0,25-75,resistant
14.0,2159.3716666666664,2266.3410058361287,false,load_plus_context_amplitude,linked_global,coculture,A2780Naive+A2780cis,20k,1.0,25-75,resistant
0.0,33.5,33.5,true,load_plus_context_amplitude,linked_global,coculture,A2780Naive+A2780cis,20k,1.0,50-50,sensitive
1.0,154.28,65.81333484060637,false,load_plus_context_amplitude,linked_global,coculture,A2780Naive+A2780cis,20k,1.0,50-50,sensitive
2.0,285.20666666666665,127.69885580717899,false,load_plus_context_amplitude,linked_global,coculture,A2780Naive+A2780cis,20k,1.0,50-50,sensitive
3.0,425.075,240.82032218870916,false,load_plus_context_amplitude,linked_global,coculture,A2780Naive+A2780cis,20k,1.0,50-50,sensitive
4.0,562.615,368.16741493320995,false,load_plus_context_amplitude,linked_global,coculture,A2780Naive+A2780cis,20k,1.0,50-50,sensitive
5.0,850.4516666666667,481.9407349114052,false,load_plus_context_amplitude,linked_global,coculture,A2780Naive+A2780cis,20k,1.0,50-50,sensitive
6.0,932.2550000000001,590.2637297828393,false,load_plus_context_amplitude,linked_global,coculture,A2780Naive+A2780cis,20k,1.0,50-50,sensitive
7.0,1392.045,698.3805048685053,false,load_plus_context_amplitude,linked_global,coculture,A2780Naive+A2780cis,20k,1.0,50-50,sensitive
8.0,999.73,810.564802536042,false,load_plus_context_amplitude,linked_global,coculture,A2780Naive+A2780cis,20k,1.0,50-50,sensitive
9.0,1287.6316666666664,926.1992415697443,false,load_plus_context_amplitude,linked_global,coculture,A2780Naive+A2780cis,20k,1.0,50-50,sensitive
10.0,1285.185,1037.9911123089971,false,load_plus_context_amplitude,linked_global,coculture,A2780Naive+A2780cis,20k,1.0,50-50,sensitive
11.0,1589.9216666666669,1137.8585551091828,false,load_plus_context_amplitude,linked_global,coculture,A2780Naive+A2780cis,20k,1.0,50-50,sensitive
