time,observed,pred_theta_logistic_hill_kill,pred_pkpd_inhibition,pred_lotka_volterra_hill_competition
4.0,287.73,NaN,NaN,NaN
4.0,364.46,NaN,NaN,NaN
4.0,245.39,NaN,NaN,NaN
4.0,249.38,NaN,NaN,NaN
4.0,242.09,NaN,NaN,NaN
4.0,279.2,NaN,NaN,NaN
4.0,750.96,NaN,NaN,NaN
4.0,755.78,NaN,NaN,NaN
4.0,387.51,NaN,NaN,NaN
4.0,1121.3,NaN,NaN,NaN
4.0,450.36,NaN,NaN,NaN
4.0,749.75,NaN,NaN,NaN
4.0,656.51,NaN,NaN,NaN
4.0,1140.36,NaN,NaN,NaN
4.0,582.32,NaN,NaN,NaN
4.0,1209.65,NaN,NaN,NaN
4.0,563.18,NaN,NaN,NaN
4.0,620.11,NaN,NaN,NaN
4.0,660.96,NaN,NaN,NaN
4.0,898.44,NaN,NaN,NaN
4.0,128.0,NaN,NaN,NaN
4.0,127.53,NaN,NaN,NaN
4.0,78.21,NaN,NaN,NaN
4.0,186.29,NaN,NaN,NaN
4.0,121.67,NaN,NaN,NaN
4.0,161.99,NaN,NaN,NaN
4.0,81.58,NaN,NaN,NaN
4.0,138.27,NaN,NaN,NaN
4.0,88.81,NaN,NaN,NaN
4.0,203.49,NaN,NaN,NaN
4.0,77.08,NaN,NaN,NaN
4.0,88.22,NaN,NaN,NaN
4.0,130.93,NaN,NaN,NaN
4.0,176.67,NaN,NaN,NaN
5.0,903.37,NaN,NaN,NaN
5.0,503.14,NaN,NaN,NaN
5.0,186.15,NaN,NaN,NaN
5.0,458.41,NaN,NaN,NaN
5.0,850.45,NaN,NaN,NaN
5.0,1098.77,NaN,NaN,NaN
5.0,872.21,NaN,NaN,NaN
5.0,439.58,NaN,NaN,NaN
5.0,211.36,NaN,NaN,NaN
5.0,467.27,NaN,NaN,NaN
5.0,879.0,NaN,NaN,NaN
5.0,1013.16,NaN,NaN,NaN
5.0,668.41,NaN,NaN,NaN
5.0,1220.63,NaN,NaN,NaN
