stage,cell_line,density,time,sample_mean,sample_sd,n_wells,dose,mix,component
Stage 2,A2780cis,30k,9.0,2421.258526333333,72.70777098232435,3,1.47,,
Stage 2,A2780cis,30k,9.0,3220.0850306666666,216.31170117561163,3,1.0,,
Stage 2,A2780cis,30k,9.0,3548.7987266666664,65.47568727450418,3,0.67,,
Stage 2,A2780Naive,20k,10.0,232.34174399999998,27.48390630916435,3,1.47,,
Stage 2,A2780Naive,20k,10.0,1522.992284,299.14762331390216,3,1.0,,
Stage 2,A2780Naive,20k,10.0,2537.1984183333334,262.30754681233697,3,0.67,,
Stage 2,A2780Naive,30k,10.0,351.6421293333333,61.01293212739326,3,1.47,,
Stage 2,A2780Naive,30k,10.0,1765.6959490000002,98.06425776117896,3,1.0,,
Stage 2,A2780Naive,30k,10.0,2758.7708333333335,164.96109204747034,3,0.67,,
Stage 2,A2780cis,20k,10.0,1885.2126543333334,121.36675462700197,3,1.47,,
Stage 2,A2780cis,20k,10.0,3134.858873333333,258.4452443063787,3,1.0,,
Stage 2,A2780cis,20k,10.0,2744.403163333333,327.53297255316255,3,0.67,,
Stage 2,A2780cis,30k,10.0,1957.2380400000002,146.6553166238808,3,1.47,,
Stage 2,A2780cis,30k,10.0,2953.806751666667,224.45425337590066,3,1.0,,
Stage 2,A2780cis,30k,10.0,2897.7104553333334,169.4868759284623,3,0.67,,
Stage 2,A2780Naive,20k,11.0,155.3204476666667,13.074345832349865,3,1.47,,
Stage 2,A2780Naive,20k,11.0,1608.247685333333,233.74977966946003,3,1.0,,
Stage 2,A2780Naive,20k,11.0,3073.8874999999994,306.9365040225746,3,0.67,,
Stage 2,A2780Naive,30k,11.0,239.04888100000002,37.34067207689587,3,1.47,,
Stage 2,A2780Naive,30k,11.0,1797.057716,176.3205464024485,3,1.0,,
Stage 2,A2780Naive,30k,11.0,3434.9652003333335,336.2845662293323,3,0.67,,
Stage 2,A2780cis,20k,11.0,2693.7878856666666,175.26676100797786,3,1.47,,
Stage 2,A2780cis,20k,11.0,3720.5385029999998,137.88065814622985,3,1.0,,
Stage 2,A2780cis,20k,11.0,3624.0109566666665,310.87896770728963,3,0.67,,
Stage 2,A2780cis,30k,11.0,2537.103395,183.06846974587722,3,1.47,,
Stage 2,A2780cis,30k,11.0,3595.1114196666663,160.6350956569957,3,1.0,,
Stage 2,A2780cis,30k,11.0,3797.833449333333,210.01230915838045,3,0.67,,
Stage 2,A2780Naive,20k,12.0,103.907562,21.225736766745882,3,1.47,,
Stage 2,A2780Naive,20k,12.0,1500.9281636666667,89.39882384925919,3,1.0,,
Stage 2,A2780Naive,20k,12.0,3042.368325666667,136.03512868477515,3,0.67,,
Stage 2,A2780Naive,30k,12.0,153.48256166666667,30.165766585051838,3,1.47,,
Stage 2,A2780Naive,30k,12.0,1664.883989,24.99546407006833,3,1.0,,
Stage 2,A2780Naive,30k,12.0,3115.501775,299.90168636961374,3,0.67,,
Stage 2,A2780cis,20k,12.0,2554.914467666667,196.62755698501383,3,1.47,,
Stage 2,A2780cis,20k,12.0,2824.6677086666664,167.64780814691207,3,1.0,,
Stage 2,A2780cis,20k,12.0,2656.8393906666665,207.74438913445135,3,0.67,,
Stage 2,A2780cis,30k,12.0,2244.322531,219.38469995508584,3,1.47,,
Stage 2,A2780cis,30k,12.0,2534.660455333333,169.3619822340948,3,1.0,,
Stage 2,A2780cis,30k,12.0,2884.930285666667,162.52661192184445,3,0.67,,
Stage 2,A2780Naive,20k,13.0,71.52523133333334,10.685801989540249,3,1.47,,
Stage 2,A2780Naive,20k,13.0,2011.2254243333334,161.86376800902048,3,1.0,,
Stage 2,A2780Naive,20k,13.0,3537.7463733333334,88.16199919857632,3,0.67,,
Stage 2,A2780Naive,30k,13.0,115.12735333333332,23.97551822388966,3,1.47,,
Stage 2,A2780Naive,30k,13.0,1869.5183256666667,157.82645226944499,3,1.0,,
Stage 2,A2780Naive,30k,13.0,3633.6489583333337,214.11539958148967,3,0.67,,
Stage 2,A2780cis,20k,13.0,3229.3090276666667,138.84976478100955,3,1.47,,
Stage 2,A2780cis,20k,13.0,3906.9917053333334,75.88765098876812,3,1.0,,
