stage,model,pooling_mode,density,parameter,effective_value,lower_bound,upper_bound,bound_position
coculture_treated,dual_delayed_ramp_kill,independent_diagnostic,30k,kill_resistant,3.3400067057624844e-9,0.0,4.0,8.350016764406211e-10
coculture_treated,dual_delayed_ramp_kill,independent_diagnostic,30k,lambda,4.999999999999534,0.01,5.0,0.9999999999999065
coculture_treated,dual_delayed_ramp_kill,independent_diagnostic,30k,onset,2.7140449001978415e-9,0.0,7.0,3.8772070002826305e-10
coculture_treated,dual_time_decay_kill,independent_diagnostic,20k,kill_sensitive,0.37862089270935184,0.0,4.0,0.09465522317733796
coculture_treated,dual_time_decay_kill,independent_diagnostic,20k,kill_resistant,2.432368786124109e-7,0.0,4.0,6.080921965310273e-8
coculture_treated,dual_time_decay_kill,independent_diagnostic,20k,lambda,0.0830673436539149,0.0,5.0,0.01661346873078298
coculture_treated,dual_time_decay_kill,independent_diagnostic,30k,kill_sensitive,0.3775682219875729,0.0,4.0,0.09439205549689322
coculture_treated,dual_time_decay_kill,independent_diagnostic,30k,kill_resistant,1.8401103342380715e-6,0.0,4.0,4.600275835595179e-7
coculture_treated,dual_time_decay_kill,independent_diagnostic,30k,lambda,0.16866800330582432,0.0,5.0,0.03373360066116486
coculture_treated,dual_transit_competitor_scaled,independent_diagnostic,20k,kill_sensitive,0.2862182526109183,0.0,4.0,0.07155456315272958
coculture_treated,dual_transit_competitor_scaled,independent_diagnostic,20k,kill_resistant,3.696726779403434e-6,0.0,4.0,9.241816948508585e-7
coculture_treated,dual_transit_competitor_scaled,independent_diagnostic,20k,lambda,5.182524650888043,0.01,5.0,1.0365780863503091
coculture_treated,dual_transit_competitor_scaled,independent_diagnostic,20k,onset,1.3894817791855666e-6,0.0,7.0,1.984973970265095e-7
coculture_treated,dual_transit_competitor_scaled,independent_diagnostic,20k,clearance,0.874435684445995,0.01,4.0,0.2166505474801992
coculture_treated,dual_transit_competitor_scaled,independent_diagnostic,20k,beta_sensitive,-0.6728570400385308,-3.0,3.0,0.3878571599935782
coculture_treated,dual_transit_competitor_scaled,independent_diagnostic,20k,beta_resistant,-0.07489730234004499,-3.0,3.0,0.48751711627665917
coculture_treated,dual_transit_competitor_scaled,independent_diagnostic,30k,kill_sensitive,0.3028783863920542,0.0,4.0,0.07571959659801356
coculture_treated,dual_transit_competitor_scaled,independent_diagnostic,30k,kill_resistant,6.764426139730385e-8,0.0,4.0,1.6911065349325962e-8
coculture_treated,dual_transit_competitor_scaled,independent_diagnostic,30k,lambda,4.999375196384347,0.01,5.0,0.9998747888545785
coculture_treated,dual_transit_competitor_scaled,independent_diagnostic,30k,onset,6.550336078187509e-13,0.0,7.0,9.357622968839299e-14
coculture_treated,dual_transit_competitor_scaled,independent_diagnostic,30k,clearance,0.18037136002066673,0.01,4.0,0.042699588977610704
coculture_treated,dual_transit_competitor_scaled,independent_diagnostic,30k,beta_sensitive,-2.9521265156004435,-3.0,3.0,0.007978914066592754
coculture_treated,dual_transit_competitor_scaled,independent_diagnostic,30k,beta_resistant,-1.3627926717711003,-3.0,3.0,0.27286788803814993
coculture_treated,dual_transit_damage,independent_diagnostic,20k,kill_sensitive,0.2593943250095177,0.0,4.0,0.06484858125237943
coculture_treated,dual_transit_damage,independent_diagnostic,20k,kill_resistant,1.8548612327661385e-9,0.0,4.0,4.6371530819153464e-10
coculture_treated,dual_transit_damage,independent_diagnostic,20k,lambda,4.999999999469787,0.01,5.0,0.9999999998937449
coculture_treated,dual_transit_damage,independent_diagnostic,20k,onset,1.613388953722495e-7,0.0,7.0,2.304841362460707e-8
coculture_treated,dual_transit_damage,independent_diagnostic,20k,clearance,1.0472022975544149,0.01,4.0,0.2599504505148909
coculture_treated,dual_transit_damage,independent_diagnostic,30k,kill_sensitive,0.21984792369021558,0.0,4.0,0.054961980922553895
coculture_treated,dual_transit_damage,independent_diagnostic,30k,kill_resistant,7.677996177939624e-7,0.0,4.0,1.919499044484906e-7
coculture_treated,dual_transit_damage,independent_diagnostic,30k,lambda,4.999954607166505,0.01,5.0,0.9999909032397806
coculture_treated,dual_transit_damage,independent_diagnostic,30k,onset,1.7086913688263228e-5,0.0,7.0,2.4409876697518896e-6
coculture_treated,dual_transit_damage,independent_diagnostic,30k,clearance,0.22530015673595344,0.01,4.0,0.053959939031567275
coculture_treated,dual_transit_load_scaled,independent_diagnostic,20k,kill_sensitive,0.4529010854189419,0.0,4.0,0.11322527135473548
coculture_treated,dual_transit_load_scaled,independent_diagnostic,20k,kill_resistant,5.459291342575151e-8,0.0,4.0,1.3648228356437877e-8
coculture_treated,dual_transit_load_scaled,independent_diagnostic,20k,lambda,3.8381846915446403,0.01,5.0,0.7671712808706694
coculture_treated,dual_transit_load_scaled,independent_diagnostic,20k,onset,0.1267949757692095,0.0,7.0,0.01811356796702993
coculture_treated,dual_transit_load_scaled,independent_diagnostic,20k,clearance,0.5521782747586701,0.01,4.0,0.13588427938813785
coculture_treated,dual_transit_load_scaled,independent_diagnostic,20k,beta_sensitive,-2.172782323606392,-3.0,3.0,0.13786961273226797
coculture_treated,dual_transit_load_scaled,independent_diagnostic,20k,beta_resistant,1.7991386775936826,-3.0,3.0,0.7998564462656138
coculture_treated,dual_transit_load_scaled,independent_diagnostic,30k,kill_sensitive,0.4129797787514381,0.0,4.0,0.10324494468785952
coculture_treated,dual_transit_load_scaled,independent_diagnostic,30k,kill_resistant,0.00683781341362993,0.0,4.0,0.0017094533534074824
coculture_treated,dual_transit_load_scaled,independent_diagnostic,30k,lambda,1.5498724115771862,0.01,5.0,0.3085916656467307
coculture_treated,dual_transit_load_scaled,independent_diagnostic,30k,onset,6.550336078187509e-13,0.0,7.0,9.357622968839299e-14
coculture_treated,dual_transit_load_scaled,independent_diagnostic,30k,clearance,0.21844092372567528,0.01,4.0,0.0522408330139537
coculture_treated,dual_transit_load_scaled,independent_diagnostic,30k,beta_sensitive,-2.774307567729225,-3.0,3.0,0.03761540537846253
coculture_treated,dual_transit_load_scaled,independent_diagnostic,30k,beta_resistant,2.6669686004991355,-3.0,3.0,0.9444947667498559
coculture_treated,sensitive_tolerant_transition,independent_diagnostic,20k,kill_sensitive,0.6059305159593563,0.0,4.0,0.15148262898983908
coculture_treated,sensitive_tolerant_transition,independent_diagnostic,20k,kill_tolerant,0.11136255586921133,0.0,3.0,0.03712085195640378
coculture_treated,sensitive_tolerant_transition,independent_diagnostic,20k,kill_resistant,3.4306546310579125e-5,0.0,4.0,8.576636577644781e-6
coculture_treated,sensitive_tolerant_transition,independent_diagnostic,20k,lambda,1.346285877731868,0.01,5.0,0.26779276106851063
coculture_treated,sensitive_tolerant_transition,independent_diagnostic,20k,onset,2.0904893759179153,0.0,7.0,0.29864133941684506
coculture_treated,sensitive_tolerant_transition,independent_diagnostic,20k,transition,0.05127302542903423,0.0,1.5,0.034182016952689485
coculture_treated,sensitive_tolerant_transition,independent_diagnostic,30k,kill_sensitive,0.5994743002017389,0.0,4.0,0.14986857505043472
coculture_treated,sensitive_tolerant_transition,independent_diagnostic,30k,kill_tolerant,0.0005646156784746751,0.0,3.0,0.00018820522615822503
coculture_treated,sensitive_tolerant_transition,independent_diagnostic,30k,kill_resistant,0.00010716608717141959,0.0,4.0,2.6791521792854897e-5
coculture_treated,sensitive_tolerant_transition,independent_diagnostic,30k,lambda,0.791866222600665,0.01,5.0,0.15668661775564427
coculture_treated,sensitive_tolerant_transition,independent_diagnostic,30k,onset,2.514890552071128,0.0,7.0,0.35927007886730405
