time,count,source_file,component,density,mix,replicate
11.0,453.8,measure_75-25A2780cisCoUntreat_4000Thres_well_day_averages.csv,resistant,20k,75-25,2
11.0,452.51,measure_75-25A2780cisCoUntreat_4000Thres_well_day_averages.csv,resistant,20k,75-25,3
12.0,233.91,measure_75-25A2780cisCoUntreat_4000Thres_well_day_averages.csv,resistant,20k,75-25,1
12.0,213.64,measure_75-25A2780cisCoUntreat_4000Thres_well_day_averages.csv,resistant,20k,75-25,2
12.0,337.13,measure_75-25A2780cisCoUntreat_4000Thres_well_day_averages.csv,resistant,20k,75-25,3
13.0,285.09,measure_75-25A2780cisCoUntreat_4000Thres_well_day_averages.csv,resistant,20k,75-25,1
13.0,309.32,measure_75-25A2780cisCoUntreat_4000Thres_well_day_averages.csv,resistant,20k,75-25,2
13.0,333.27,measure_75-25A2780cisCoUntreat_4000Thres_well_day_averages.csv,resistant,20k,75-25,3
14.0,185.51,measure_75-25A2780cisCoUntreat_4000Thres_well_day_averages.csv,resistant,20k,75-25,1
14.0,186.53,measure_75-25A2780cisCoUntreat_4000Thres_well_day_averages.csv,resistant,20k,75-25,2
14.0,211.8,measure_75-25A2780cisCoUntreat_4000Thres_well_day_averages.csv,resistant,20k,75-25,3
1.0,20.06,measure_75-25A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,75-25,1
1.0,22.14,measure_75-25A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,75-25,2
1.0,19.85,measure_75-25A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,75-25,3
2.0,66.89,measure_75-25A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,75-25,1
2.0,68.17,measure_75-25A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,75-25,2
2.0,57.55,measure_75-25A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,75-25,3
3.0,167.52,measure_75-25A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,75-25,1
3.0,169.79,measure_75-25A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,75-25,2
3.0,168.15,measure_75-25A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,75-25,3
4.0,507.22,measure_75-25A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,75-25,1
4.0,467.12,measure_75-25A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,75-25,2
4.0,446.36,measure_75-25A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,75-25,3
5.0,1242.12,measure_75-25A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,75-25,1
5.0,1164.65,measure_75-25A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,75-25,2
5.0,1200.53,measure_75-25A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,75-25,3
6.0,944.75,measure_75-25A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,75-25,1
6.0,276.46,measure_75-25A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,75-25,2
6.0,1024.56,measure_75-25A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,75-25,3
7.0,1912.13,measure_75-25A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,75-25,1
7.0,1687.05,measure_75-25A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,75-25,2
7.0,1753.06,measure_75-25A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,75-25,3
8.0,2195.06,measure_75-25A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,75-25,1
8.0,1990.65,measure_75-25A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,75-25,2
8.0,2098.15,measure_75-25A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,75-25,3
9.0,2177.83,measure_75-25A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,75-25,1
9.0,2011.74,measure_75-25A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,75-25,2
9.0,2733.37,measure_75-25A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,75-25,3
10.0,2322.69,measure_75-25A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,75-25,1
10.0,2357.35,measure_75-25A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,75-25,2
10.0,2465.02,measure_75-25A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,75-25,3
11.0,2101.33,measure_75-25A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,75-25,1
11.0,2652.3,measure_75-25A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,75-25,2
11.0,2345.85,measure_75-25A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,75-25,3
12.0,2261.1,measure_75-25A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,75-25,1
12.0,2673.23,measure_75-25A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,75-25,2
12.0,2647.97,measure_75-25A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,75-25,3
13.0,2430.45,measure_75-25A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,75-25,1
13.0,3008.4,measure_75-25A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,75-25,2
13.0,3047.77,measure_75-25A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,75-25,3
14.0,2489.78,measure_75-25A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,75-25,1
14.0,2826.23,measure_75-25A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,75-25,2
14.0,3069.08,measure_75-25A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,75-25,3
1.0,81.3,measure_25-75A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,30k,25-75,1
