stage,condition,fit_scope,model,bic,sse,params,inherited
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - mono A2780cis 20k,Run 1,logistic_with_lag,114.79623493562619,92045.0029235812,4.0;123.96;1.6788e-11,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - mono A2780cis 20k,Run 1,transit_compartment_delayed_kill,119.76604786789275,92045.00010616475,4.0;123.96;1.4963e-11;0.0001;5.0,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - mono A2780 30k,Run 1,logistic,198.0953215503761,5.684942728538509e6,1.0052;2382.7,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - mono A2780 30k,Run 1,logistic_plus_loss,200.80337175147784,5.68494272853833e6,1.0214;2421.0;0.016167,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - mono A2780 30k,Run 1,logistic_with_lag,200.80337403151748,5.684943592664716e6,1.0052;2382.7;5.3207e-6,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - mono A2780 30k,Run 1,logistic_with_delayed_death,203.16518161912032,5.555221876836547e6,0.92386;2733.9;0.13513;6.0,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - mono A2780 30k,Run 1,logistic_with_smooth_delayed_death,205.89282929932548,5.5624845097562745e6,0.92404;2736.6;0.13545;5.9774;0.05,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - mono A2780 30k,Run 1,transit_compartment_delayed_kill,206.2194722984512,5.684942783405211e6,1.0815;2563.5;0.07629;0.49809;0.051939,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - mono A2780cis 30k,Run 1,logistic_with_delayed_death,98.28639338434431,18904.158725341385,3.1771;489.64;3.0;5.758,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - mono A2780cis 30k,Run 1,logistic_with_smooth_delayed_death,100.77048363389505,18902.87265578401,3.177;489.64;3.0;5.7468;0.05,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - mono A2780cis 30k,Run 1,logistic,131.9611184771072,473314.5299120192,4.0;269.32,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - mono A2780cis 30k,Run 1,logistic_plus_loss,134.44602512689144,473314.5299118713,4.0;269.32;2.8073e-13,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - mono A2780cis 30k,Run 1,logistic_with_lag,134.44602618952908,473314.5718253588,4.0;269.33;7.8285e-7,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - mono A2780cis 30k,Run 1,transit_compartment_delayed_kill,139.4158381783601,473314.5201258043,4.0;269.33;1.0285e-11;5.0;4.6788e-13,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 2 - A2780 30k 1-3,Run 2,logistic_with_smooth_delayed_death,162.18601545392818,1.269682867259248e6,1.0456;2216.5;2.1607;10.779;0.050582,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 2 - A2780 30k 1-3,Run 2,logistic_with_delayed_death,168.75912509636208,2.5643236864216784e6,0.76998;53367.0;0.8909;6.1774,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 2 - A2780 30k 1-3,Run 2,logistic,170.0653911448783,4.207145423458697e6,1.1576;1778.9,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 2 - A2780 30k 1-3,Run 2,logistic_with_lag,172.57446163516974,4.1891003473131806e6,1.3313;1775.6;0.57497,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 2 - A2780 30k 1-3,Run 2,logistic_plus_loss,172.6303405023396,4.207145423458624e6,1.1664;1792.4;0.0088022,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 2 - A2780 30k 1-3,Run 2,transit_compartment_delayed_kill,177.76023911926032,4.207145391742463e6,1.1738;1803.8;0.016209;0.54008;0.50039,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 2 - A2780cis 30k 1-3,Run 2,logistic_with_smooth_delayed_death,122.01119413547825,57751.629577743464,1.5967;771.97;1.7162;4.7473;0.050018,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 2 - A2780cis 30k 1-3,Run 2,logistic_with_delayed_death,138.10635411409686,242631.68469309452,2.2759;559.05;2.3344;6.131,none; direct low-resource fit
