workbook,sheet,series,day,value
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-1,SEM Cells,0.0,0.0
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-1,N Samples,1.0,3.0
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-1,Mean Cells,1.0,546.0348931
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-1,SD Cells,1.0,135.93004071426907
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-1,SEM Cells,1.0,78.47924559734004
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-1,N Samples,2.0,3.0
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-1,Mean Cells,2.0,603.4411323
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-1,SD Cells,2.0,218.57106807960545
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-1,SEM Cells,2.0,126.19206499282423
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-1,N Samples,3.0,3.0
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-1,Mean Cells,3.0,1158.9699211666666
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-1,SD Cells,3.0,481.1110910776519
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-1,SEM Cells,3.0,277.7696179437969
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-1,N Samples,4.0,3.0
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-1,Mean Cells,4.0,1330.0561912
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-1,SD Cells,4.0,469.48901295500417
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-1,SEM Cells,4.0,271.0596080111434
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-1,N Samples,5.0,3.0
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-1,Mean Cells,5.0,1788.969844
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-1,SD Cells,5.0,605.7895091742737
