parameter,estimate,lower_bound,upper_bound,bound_position,identifiability,cell_line,model,pooling_mode
emax,0.35719006830040745,0.0,5.0,0.07143801366008148,interior,A2780cis,joint_ic_effect_transit_death,partial_5pct
lambda,4.999849397074434,0.01,5.0,0.9999698190529928,poorly_identified_at_bound,A2780cis,joint_ic_effect_transit_death,partial_5pct
t_onset,5.596129262778307,0.0,7.0,0.7994470375397581,interior,A2780cis,joint_ic_effect_transit_death,partial_5pct
k_clear,2.2913529376308155,0.01,5.0,0.4571849574410452,interior,A2780cis,joint_ic_effect_transit_death,partial_5pct
log_contrast_effect,0.0019096192342303447,-0.04879016416943205,0.04879016416943205,0.5195697151950429,interior,A2780cis,joint_ic_effect_transit_death,partial_5pct
emax_sensitive,4.99999999992966,0.0,5.0,0.9999999999859319,poorly_identified_at_bound,A2780cis,joint_ic_effect_two_population,partial_5pct
emax_tolerant,0.2943759667041902,0.0,3.0,0.09812532223473007,interior,A2780cis,joint_ic_effect_two_population,partial_5pct
lambda,4.999999999999534,0.01,5.0,0.9999999999999065,poorly_identified_at_bound,A2780cis,joint_ic_effect_two_population,partial_5pct
t_onset,6.7675969359762975,0.0,7.0,0.9667995622823282,interior,A2780cis,joint_ic_effect_two_population,partial_5pct
f_tolerant0,0.6682206332619991,0.0,0.95,0.7033901402757886,interior,A2780cis,joint_ic_effect_two_population,partial_5pct
log_contrast_effect,0.04764453702508782,-0.04879016416943205,0.04879016416943205,0.9882596506504278,poorly_identified_at_bound,A2780cis,joint_ic_effect_two_population,partial_5pct
k_kill,0.07395501352946746,0.0,4.0,0.018488753382366864,poorly_identified_at_bound,A2780cis,joint_time_decay_dose_scaled,partial_5pct
lambda,1.7341832342332343e-10,0.0,5.0,3.468366468466469e-11,poorly_identified_at_bound,A2780cis,joint_time_decay_dose_scaled,partial_5pct
log_contrast_effect,0.04879015937958141,-0.04879016416943205,0.04879016416943205,0.9999999509137679,poorly_identified_at_bound,A2780cis,joint_time_decay_dose_scaled,partial_5pct
emax_20k,0.4472867745232264,0.0,3.0,0.14909559150774213,interior,A2780cis,joint_anchored_hill_kill,independent_diagnostic
