cell_line,model,pooling_mode,density,parameter,center_value,effective_value,deviation_pct,lower_bound,upper_bound,bound_position,parameter_scope
A2780Naive,joint_ic_effect_hill_ramp_onset,independent_diagnostic,30k,lambda,0.8170494102689949,0.7231171872388245,-11.49651683846702,0.01,5.0,0.14290925595968426,independent_diagnostic
A2780Naive,joint_ic_effect_hill_ramp_onset,independent_diagnostic,30k,t_onset,2.681504341265507,2.7422396985731785,2.264973297750039,0.0,7.0,0.39174852836759694,independent_diagnostic
A2780Naive,joint_ic_effect_logistic_hill,independent_diagnostic,20k,emax,1.5318038650985615,1.517544305306156,-0.9308998441186267,0.0,4.0,0.379386076326539,independent_diagnostic
A2780Naive,joint_ic_effect_logistic_hill,independent_diagnostic,20k,ec50_effect,0.8217098173649847,0.7987478575412725,-2.794412253384704,0.05,1.0,0.788155639517129,independent_diagnostic
A2780Naive,joint_ic_effect_logistic_hill,independent_diagnostic,20k,hill_n,2.007498549669451,1.808441772590485,-9.915662310776852,0.2,10.0,0.16412671148882502,independent_diagnostic
A2780Naive,joint_ic_effect_logistic_hill,independent_diagnostic,30k,emax,1.5318038650985615,1.5461974144191555,0.9396470167326365,0.0,4.0,0.38654935360478887,independent_diagnostic
A2780Naive,joint_ic_effect_logistic_hill,independent_diagnostic,30k,ec50_effect,0.8217098173649847,0.845331874857777,2.8747444649672493,0.05,1.0,0.8371914472187126,independent_diagnostic
A2780Naive,joint_ic_effect_logistic_hill,independent_diagnostic,30k,hill_n,2.007498549669451,2.2284656813429726,11.007087985687747,0.2,10.0,0.206986294014589,independent_diagnostic
A2780Naive,joint_ic_effect_transit_death,independent_diagnostic,20k,emax,1.2303267594410177,1.2560479303616392,2.0905967234515543,0.0,5.0,0.25120958607232785,independent_diagnostic
A2780Naive,joint_ic_effect_transit_death,independent_diagnostic,20k,lambda,1.3379702347650524,1.037020892527141,-22.492977378585564,0.01,5.0,0.20581581012567954,independent_diagnostic
A2780Naive,joint_ic_effect_transit_death,independent_diagnostic,20k,t_onset,2.700485955080044,2.545017079360308,-5.757070331259229,0.0,7.0,0.363573868480044,independent_diagnostic
A2780Naive,joint_ic_effect_transit_death,independent_diagnostic,20k,k_clear,0.9767574581972257,1.3481592841319388,38.023955979839585,0.01,5.0,0.2681681932128134,independent_diagnostic
A2780Naive,joint_ic_effect_transit_death,independent_diagnostic,30k,emax,1.2303267594410177,1.2051323030012182,-2.047785781010425,0.0,5.0,0.24102646060024363,independent_diagnostic
A2780Naive,joint_ic_effect_transit_death,independent_diagnostic,30k,lambda,1.3379702347650524,1.726256782305278,29.02056693424191,0.01,5.0,0.3439392349309174,independent_diagnostic
A2780Naive,joint_ic_effect_transit_death,independent_diagnostic,30k,t_onset,2.700485955080044,2.865452044595938,6.108755692862111,0.0,7.0,0.409350292085134,independent_diagnostic
A2780Naive,joint_ic_effect_transit_death,independent_diagnostic,30k,k_clear,0.9767574581972257,0.7076724118383445,-27.5488089802277,0.01,5.0,0.13981411058884657,independent_diagnostic
A2780Naive,joint_ic_effect_two_population,independent_diagnostic,20k,emax_sensitive,1.2568013889979723,1.1990736376174636,-4.593227846965875,0.0,5.0,0.2398147275234927,independent_diagnostic
A2780Naive,joint_ic_effect_two_population,independent_diagnostic,20k,emax_tolerant,1.0903236176521547,1.1054450302119907,1.3868737973774747,0.0,3.0,0.36848167673733023,independent_diagnostic
A2780Naive,joint_ic_effect_two_population,independent_diagnostic,20k,lambda,0.660706148727039,0.9532271966765539,44.27400115968432,0.01,5.0,0.18902348630792662,independent_diagnostic
A2780Naive,joint_ic_effect_two_population,independent_diagnostic,20k,t_onset,2.6306216471899906,2.740410585811323,4.173497877910637,0.0,7.0,0.3914872265444747,independent_diagnostic
A2780Naive,joint_ic_effect_two_population,independent_diagnostic,20k,f_tolerant0,0.2258356716652925,0.12814783803851548,-43.25615741146448,0.0,0.95,0.1348924610931742,independent_diagnostic
A2780Naive,joint_ic_effect_two_population,independent_diagnostic,30k,emax_sensitive,1.2568013889979723,1.3173083635845482,4.814362485294277,0.0,5.0,0.2634616727169096,independent_diagnostic
A2780Naive,joint_ic_effect_two_population,independent_diagnostic,30k,emax_tolerant,1.0903236176521547,1.07540905130498,-1.367902713076219,0.0,3.0,0.3584696837683267,independent_diagnostic
A2780Naive,joint_ic_effect_two_population,independent_diagnostic,30k,lambda,0.660706148727039,0.4579523291904555,-30.687442507871722,0.01,5.0,0.08977000584979067,independent_diagnostic
A2780Naive,joint_ic_effect_two_population,independent_diagnostic,30k,t_onset,2.6306216471899906,2.525231177581297,-4.006295231443524,0.0,7.0,0.3607473110830424,independent_diagnostic
A2780Naive,joint_ic_effect_two_population,independent_diagnostic,30k,f_tolerant0,0.2258356716652925,0.3979915024487964,76.23057487510358,0.0,0.95,0.41893842363031203,independent_diagnostic
A2780Naive,joint_time_decay_dose_scaled,independent_diagnostic,20k,k_kill,0.44619072542375887,0.47408727294338726,6.252157637999822,0.0,4.0,0.11852181823584682,independent_diagnostic
A2780Naive,joint_time_decay_dose_scaled,independent_diagnostic,20k,lambda,2.6499597880698547e-10,4.1884160660830897e-10,58.05583484471653,0.0,5.0,8.376832132166179e-11,independent_diagnostic
A2780Naive,joint_time_decay_dose_scaled,independent_diagnostic,30k,k_kill,0.44619072542375887,0.41993568445351176,-5.88426416647545,0.0,4.0,0.10498392111337794,independent_diagnostic
A2780Naive,joint_time_decay_dose_scaled,independent_diagnostic,30k,lambda,2.6499597880698547e-10,1.6765972548076656e-10,-36.73121900355911,0.0,5.0,3.3531945096153314e-11,independent_diagnostic
A2780cis,joint_anchored_hill_kill,shared,20k,emax,2.9510731665322822,2.9510731665322822,0.0,0.0,3.0,0.9836910555107607,shared
