cell_line,model,pooling_mode,start_index,status,bic,scaled_sse,raw_sse,params,message
A2780cis,logistic_growth,independent_diagnostic,1,completed,-161.0523155661242,0.13528576682525084,2.357670414264897e6,"[0.6116079873141276, 3971.7098179659215, 0.5911915237332974, 3945.1562985250303]",
A2780cis,gompertz_growth,shared,1,completed,-136.93662793879594,0.35695619271538753,6.220823630573959e6,"[0.2620591421499545, 4362.148495063146]",
A2780cis,gompertz_growth,partial_5pct,1,completed,-130.13105862504995,0.355554524605046,6.196398192138496e6,"[0.2620484953118252, 4365.368441246621, 0.019218263000142136, -0.016168486375217422]",
A2780cis,gompertz_growth,independent_diagnostic,1,completed,-130.13169262089014,0.35554748029702976,6.196275419253217e6,"[0.25686641239674135, 4435.907640352685, 0.26738642398488843, 4295.809920170713]",
A2780cis,theta_logistic_growth,shared,1,completed,-181.56936870661204,0.0794029617196746,1.3836237102720821e6,"[0.48686422516273026, 3802.90282313452, 3.0839103255520803]",
A2780cis,theta_logistic_growth,partial_5pct,1,completed,-175.92007884435287,0.07628432537797498,1.3292186340757837e6,"[0.48332241394628067, 3794.6959971247234, 3.3268775843373417, -0.01340206831929757, 0.01535816537191502]",
A2780cis,theta_logistic_growth,independent_diagnostic,1,completed,-176.6269087808517,0.06695861892567914,1.1667080142564592e6,"[0.49799711838098576, 3806.943738773152, 3.366255009497443, 0.463970879696934, 3790.273623472265, 3.7159870267754647]",
A2780cis,lagged_theta_logistic_growth,shared,1,completed,-185.7041602583976,0.06261589664326266,1.090977033150189e6,"[0.7413531473750263, 3820.4076988557395, 1.458575807553205, 1.8202148152120654]",
A2780cis,lagged_theta_logistic_growth,shared,2,completed,-184.70714988140116,0.0645975032162327,1.125515278958877e6,"[0.621265233633691, 3809.737509482595, 2.0039029103929464, 1.2248452508129226]",
A2780cis,lagged_theta_logistic_growth,shared,3,completed,-185.70416294895486,0.06261589137852365,1.0909768927238279e6,"[0.7410852601688173, 3820.3036628635446, 1.4596385658750435, 1.819292496607682]",
A2780cis,lagged_theta_logistic_growth,partial_5pct,1,completed,-178.68317348394373,0.06279129998670276,1.094037982889892e6,"[0.7118932588286138, 3815.756176065999, 1.5896039561506727, 1.7145187545104807, 0.000601147775512699, -0.00044949015622505056]",
A2780cis,lagged_theta_logistic_growth,partial_5pct,2,completed,-175.56988738709745,0.06920732566005318,1.2058474793064606e6,"[0.5542825842877266, 3806.890029453725, 2.4987400242578865, 0.7351065853342357, -5.1316201039638965e-5, 0.001383092746276779]",
A2780cis,lagged_theta_logistic_growth,partial_5pct,3,completed,-178.9119132642496,0.06234406072045811,1.0862412296348058e6,"[0.7209294968485003, 3819.486880024586, 1.5310157858656175, 1.7387970561574833, -0.0010698211814513456, -0.0007929113337369273]",
