cell_line,model,pooling_mode,density,parameter,center_value,effective_value,deviation_percent,parameter_scope
A2780Naive,logistic_simple_death,independent_diagnostic,30k,K,4006.610116314723,3975.406203593518,-0.7788108105189595,independent_diagnostic
A2780Naive,logistic_simple_death,independent_diagnostic,20k,death_rate,0.005162715762999776,0.005149259912925744,-0.26063511321826605,independent_diagnostic
A2780Naive,logistic_simple_death,independent_diagnostic,30k,death_rate,0.005162715762999776,0.005176206775389223,0.2613161949789111,independent_diagnostic
A2780Naive,allee_growth,shared,20k,r,1.9907003013650046,1.9907003013650046,0.0,shared_across_densities
A2780Naive,allee_growth,shared,30k,r,1.9907003013650046,1.9907003013650046,0.0,shared_across_densities
A2780Naive,allee_growth,shared,20k,K,3160.249653000887,3160.249653000887,0.0,shared_across_densities
A2780Naive,allee_growth,shared,30k,K,3160.249653000887,3160.249653000887,0.0,shared_across_densities
A2780Naive,allee_growth,shared,20k,allee_threshold,7.622991422933451e-5,7.622991422933451e-5,0.0,shared_across_densities
A2780Naive,allee_growth,shared,30k,allee_threshold,7.622991422933451e-5,7.622991422933451e-5,0.0,shared_across_densities
A2780Naive,allee_growth,partial_5pct,20k,r,0.3070313716587364,0.29389950268838994,-4.277044687453779,partial_5pct
A2780Naive,allee_growth,partial_5pct,30k,r,0.3070313716587364,0.3207499921583537,4.46814943551288,partial_5pct
A2780Naive,allee_growth,partial_5pct,20k,K,3551.9457236348594,3726.8057328111827,4.9229358436643444,partial_5pct
A2780Naive,allee_growth,partial_5pct,30k,K,3551.9457236348594,3385.2900655842063,-4.6919539603805465,partial_5pct
A2780Naive,allee_growth,partial_5pct,20k,allee_threshold,50.51435866385639,50.51435866385639,0.0,partial_5pct
A2780Naive,allee_growth,partial_5pct,30k,allee_threshold,50.51435866385639,50.51435866385639,0.0,partial_5pct
A2780Naive,allee_growth,independent_diagnostic,20k,r,0.8762296396617821,0.7399681196843032,-15.550891434130765,independent_diagnostic
A2780Naive,allee_growth,independent_diagnostic,30k,r,0.8762296396617821,1.0375830539150501,18.414512240826397,independent_diagnostic
A2780Naive,allee_growth,independent_diagnostic,20k,K,3438.9596850114062,3742.2497536306073,8.819238851245647,independent_diagnostic
A2780Naive,allee_growth,independent_diagnostic,30k,K,3438.9596850114062,3160.2497144024455,-8.104484964558,independent_diagnostic
A2780Naive,allee_growth,independent_diagnostic,20k,allee_threshold,78.91731104124756,63.250166576823624,-19.852608075096757,independent_diagnostic
A2780Naive,allee_growth,independent_diagnostic,30k,allee_threshold,78.91731104124756,98.46522656057446,24.77012364132609,independent_diagnostic
A2780cis,logistic_growth,shared,20k,r,0.6024146478938854,0.6024146478938854,0.0,shared_across_densities
A2780cis,logistic_growth,shared,30k,r,0.6024146478938854,0.6024146478938854,0.0,shared_across_densities
