time,observed,predicted,cell_line,density,dose,ic_label,timing_hypothesis
11.0,1797.057716,1539.7904598853816,A2780Naive,30k,1.0,IC50,cis_gradual_only
12.0,1664.883989,1523.0306703437066,A2780Naive,30k,1.0,IC50,cis_gradual_only
13.0,1869.5183256666667,1511.4789120398807,A2780Naive,30k,1.0,IC50,cis_gradual_only
14.0,2521.7536263333336,1503.634797144376,A2780Naive,30k,1.0,IC50,cis_gradual_only
0.0,100.0,100.0,A2780Naive,30k,1.47,IC75,cis_gradual_only
1.0,683.0949846666667,184.6638288126471,A2780Naive,30k,1.47,IC75,cis_gradual_only
2.0,962.59946,451.8060626596289,A2780Naive,30k,1.47,IC75,cis_gradual_only
3.0,1293.4153163333333,973.4065080517942,A2780Naive,30k,1.47,IC75,cis_gradual_only
4.0,1242.3761956666667,1197.2379349094049,A2780Naive,30k,1.47,IC75,cis_gradual_only
5.0,1196.6721066666667,1012.3260191238303,A2780Naive,30k,1.47,IC75,cis_gradual_only
6.0,1151.6981093333334,772.3400535570191,A2780Naive,30k,1.47,IC75,cis_gradual_only
7.0,908.6366510000001,589.7742291000068,A2780Naive,30k,1.47,IC75,cis_gradual_only
8.0,684.2957563333333,466.09469878898926,A2780Naive,30k,1.47,IC75,cis_gradual_only
9.0,451.471335,383.68928712583636,A2780Naive,30k,1.47,IC75,cis_gradual_only
10.0,351.6421293333333,327.9893313962693,A2780Naive,30k,1.47,IC75,cis_gradual_only
11.0,239.04888100000002,289.46084611043347,A2780Naive,30k,1.47,IC75,cis_gradual_only
12.0,153.48256166666667,262.1697838527819,A2780Naive,30k,1.47,IC75,cis_gradual_only
13.0,115.12735333333332,242.41773799599713,A2780Naive,30k,1.47,IC75,cis_gradual_only
14.0,60.396604999999994,227.8549470923764,A2780Naive,30k,1.47,IC75,cis_gradual_only
0.0,67.0,67.0,A2780cis,20k,0.67,IC25,cis_gradual_only
1.0,79.832716,75.85952214972043,A2780cis,20k,0.67,IC25,cis_gradual_only
2.0,136.68186733333332,106.39177019116758,A2780cis,20k,0.67,IC25,cis_gradual_only
3.0,256.032137,176.18168440492695,A2780cis,20k,0.67,IC25,cis_gradual_only
4.0,551.4876543333334,328.25677382230106,A2780cis,20k,0.67,IC25,cis_gradual_only
5.0,932.248611,648.2894908046925,A2780cis,20k,0.67,IC25,cis_gradual_only
6.0,1630.1435956666667,1245.9543708840756,A2780cis,20k,0.67,IC25,cis_gradual_only
7.0,2349.2489583333336,2096.575425435712,A2780cis,20k,0.67,IC25,cis_gradual_only
8.0,2344.200308666667,2896.687336245434,A2780cis,20k,0.67,IC25,cis_gradual_only
9.0,3261.814429,3385.9937698382114,A2780cis,20k,0.67,IC25,cis_gradual_only
10.0,2744.403163333333,3603.47888443561,A2780cis,20k,0.67,IC25,cis_gradual_only
11.0,3624.0109566666665,3682.8116534949036,A2780cis,20k,0.67,IC25,cis_gradual_only
12.0,2656.8393906666665,3707.477892294045,A2780cis,20k,0.67,IC25,cis_gradual_only
13.0,3902.5750386666664,3712.9809675878087,A2780cis,20k,0.67,IC25,cis_gradual_only
14.0,2987.771682,3712.266455591167,A2780cis,20k,0.67,IC25,cis_gradual_only
0.0,67.0,67.0,A2780cis,20k,1.0,IC50,cis_gradual_only
1.0,82.57476866666666,74.9499091620677,A2780cis,20k,1.0,IC50,cis_gradual_only
2.0,153.74926733333334,101.49106877753569,A2780cis,20k,1.0,IC50,cis_gradual_only
3.0,298.6227236666667,159.05549306540672,A2780cis,20k,1.0,IC50,cis_gradual_only
4.0,584.2937496666667,276.56347780267595,A2780cis,20k,1.0,IC50,cis_gradual_only
5.0,1028.8575233333333,508.8948888794856,A2780cis,20k,1.0,IC50,cis_gradual_only
6.0,1728.4681713333332,930.9687029667077,A2780cis,20k,1.0,IC50,cis_gradual_only
7.0,2346.5103780000004,1564.4086407715558,A2780cis,20k,1.0,IC50,cis_gradual_only
8.0,2305.3690973333332,2260.6384027907243,A2780cis,20k,1.0,IC50,cis_gradual_only
9.0,3049.6326773333335,2791.405102960539,A2780cis,20k,1.0,IC50,cis_gradual_only
10.0,3134.858873333333,3087.1551629500145,A2780cis,20k,1.0,IC50,cis_gradual_only
11.0,3720.5385029999998,3220.2199659570842,A2780cis,20k,1.0,IC50,cis_gradual_only
