time,observed,pred_one_stage_transit_linear_kill,pred_hill_death_instantaneous,pred_transit_hill_combined,pred_theta_logistic_hill_kill,pred_transit_chain_erlang
7.0,2895.899846,NaN,NaN,NaN,NaN,NaN
7.0,492.01713,NaN,NaN,NaN,NaN,NaN
7.0,659.23588,NaN,NaN,NaN,NaN,NaN
7.0,894.48588,NaN,NaN,NaN,NaN,NaN
7.0,1557.258333,NaN,NaN,NaN,NaN,NaN
7.0,1607.083449,NaN,NaN,NaN,NaN,NaN
7.0,1526.272685,NaN,NaN,NaN,NaN,NaN
7.0,2109.59213,NaN,NaN,NaN,NaN,NaN
7.0,2256.806019,NaN,NaN,NaN,NaN,NaN
7.0,1682.875116,NaN,NaN,NaN,NaN,NaN
7.0,856.91412,NaN,NaN,NaN,NaN,NaN
7.0,1006.368287,NaN,NaN,NaN,NaN,NaN
7.0,862.627546,NaN,NaN,NaN,NaN,NaN
7.0,1915.288079,NaN,NaN,NaN,NaN,NaN
7.0,1878.018403,NaN,NaN,NaN,NaN,NaN
7.0,1559.645602,NaN,NaN,NaN,NaN,NaN
7.0,2616.218287,NaN,NaN,NaN,NaN,NaN
7.0,3012.324421,NaN,NaN,NaN,NaN,NaN
7.0,3059.156829,NaN,NaN,NaN,NaN,NaN
7.0,1888.79267,NaN,NaN,NaN,NaN,NaN
7.0,2346.510378,NaN,NaN,NaN,NaN,NaN
7.0,2349.248958,NaN,NaN,NaN,NaN,NaN
7.0,1881.759761,NaN,NaN,NaN,NaN,NaN
7.0,2594.510609,NaN,NaN,NaN,NaN,NaN
7.0,2670.847839,NaN,NaN,NaN,NaN,NaN
7.0,1952.39294,NaN,NaN,NaN,NaN,NaN
7.0,2015.008796,NaN,NaN,NaN,NaN,NaN
7.0,1698.976273,NaN,NaN,NaN,NaN,NaN
7.0,2237.825,NaN,NaN,NaN,NaN,NaN
7.0,2408.152546,NaN,NaN,NaN,NaN,NaN
7.0,2393.553588,NaN,NaN,NaN,NaN,NaN
7.0,2077.490046,NaN,NaN,NaN,NaN,NaN
7.0,2280.544676,NaN,NaN,NaN,NaN,NaN
7.0,2689.712153,NaN,NaN,NaN,NaN,NaN
7.0,1789.116667,NaN,NaN,NaN,NaN,NaN
7.0,1957.183912,NaN,NaN,NaN,NaN,NaN
7.0,1898.978704,NaN,NaN,NaN,NaN,NaN
7.0,2377.378588,NaN,NaN,NaN,NaN,NaN
7.0,2525.786921,NaN,NaN,NaN,NaN,NaN
7.0,2880.366319,NaN,NaN,NaN,NaN,NaN
7.0,2522.267361,NaN,NaN,NaN,NaN,NaN
7.0,2653.206134,NaN,NaN,NaN,NaN,NaN
7.0,2837.070023,NaN,NaN,NaN,NaN,NaN
8.0,481.738503,NaN,NaN,NaN,NaN,NaN
8.0,1634.130247,NaN,NaN,NaN,NaN,NaN
8.0,2081.411111,NaN,NaN,NaN,NaN,NaN
8.0,684.295756,NaN,NaN,NaN,NaN,NaN
8.0,1754.768094,NaN,NaN,NaN,NaN,NaN
8.0,2949.133025,NaN,NaN,NaN,NaN,NaN
8.0,395.85463,NaN,NaN,NaN,NaN,NaN
8.0,466.916435,NaN,NaN,NaN,NaN,NaN
8.0,582.444444,NaN,NaN,NaN,NaN,NaN
8.0,1576.301736,NaN,NaN,NaN,NaN,NaN
8.0,1691.043056,NaN,NaN,NaN,NaN,NaN
8.0,1635.045949,NaN,NaN,NaN,NaN,NaN
8.0,2174.627662,NaN,NaN,NaN,NaN,NaN
8.0,2179.494097,NaN,NaN,NaN,NaN,NaN
8.0,1890.111574,NaN,NaN,NaN,NaN,NaN
8.0,704.287616,NaN,NaN,NaN,NaN,NaN
8.0,722.435185,NaN,NaN,NaN,NaN,NaN
8.0,626.164468,NaN,NaN,NaN,NaN,NaN
8.0,1869.473148,NaN,NaN,NaN,NaN,NaN
8.0,1834.733912,NaN,NaN,NaN,NaN,NaN
8.0,1560.097222,NaN,NaN,NaN,NaN,NaN
8.0,2696.233796,NaN,NaN,NaN,NaN,NaN
8.0,3043.966898,NaN,NaN,NaN,NaN,NaN
8.0,3107.19838,NaN,NaN,NaN,NaN,NaN
8.0,1640.846373,NaN,NaN,NaN,NaN,NaN
8.0,2305.369097,NaN,NaN,NaN,NaN,NaN
8.0,2344.200309,NaN,NaN,NaN,NaN,NaN
8.0,1606.188773,NaN,NaN,NaN,NaN,NaN
8.0,2352.010648,NaN,NaN,NaN,NaN,NaN
8.0,2545.009915,NaN,NaN,NaN,NaN,NaN
8.0,1643.588657,NaN,NaN,NaN,NaN,NaN
8.0,1789.357176,NaN,NaN,NaN,NaN,NaN
