time,observed,predicted,fixed_day0_anchor,model,pooling_mode,cell_line,density,dose,ic_label,effect_level,growth_family,joint_group
6.0,1151.6981093333334,879.8792030341115,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,30k,1.47,IC75,0.75,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
7.0,908.6366510000001,714.7588766602488,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,30k,1.47,IC75,0.75,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
8.0,684.2957563333333,586.1757312710608,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,30k,1.47,IC75,0.75,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
9.0,451.471335,487.97659788091966,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,30k,1.47,IC75,0.75,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
10.0,351.6421293333333,412.2261003976976,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,30k,1.47,IC75,0.75,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
11.0,239.04888100000002,352.7116315148338,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,30k,1.47,IC75,0.75,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
12.0,153.48256166666667,305.0440719723113,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,30k,1.47,IC75,0.75,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
13.0,115.12735333333332,266.1837732671932,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,30k,1.47,IC75,0.75,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
14.0,60.396604999999994,234.00947035546437,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,30k,1.47,IC75,0.75,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
0.0,67.0,67.0,true,joint_ic_effect_two_population,partial_5pct,A2780cis,20k,0.67,IC25,0.25,theta_logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
1.0,79.832716,109.02229880556588,false,joint_ic_effect_two_population,partial_5pct,A2780cis,20k,0.67,IC25,0.25,theta_logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
2.0,136.68186733333332,177.3981929060558,false,joint_ic_effect_two_population,partial_5pct,A2780cis,20k,0.67,IC25,0.25,theta_logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
3.0,256.032137,288.63772228558037,false,joint_ic_effect_two_population,partial_5pct,A2780cis,20k,0.67,IC25,0.25,theta_logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
4.0,551.4876543333334,469.4859983550318,false,joint_ic_effect_two_population,partial_5pct,A2780cis,20k,0.67,IC25,0.25,theta_logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
5.0,932.248611,762.5911129130488,false,joint_ic_effect_two_population,partial_5pct,A2780cis,20k,0.67,IC25,0.25,theta_logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
6.0,1630.1435956666667,1231.1602928599514,false,joint_ic_effect_two_population,partial_5pct,A2780cis,20k,0.67,IC25,0.25,theta_logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
7.0,2349.2489583333336,1919.3537010598848,false,joint_ic_effect_two_population,partial_5pct,A2780cis,20k,0.67,IC25,0.25,theta_logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
8.0,2344.200308666667,2585.2933129425337,false,joint_ic_effect_two_population,partial_5pct,A2780cis,20k,0.67,IC25,0.25,theta_logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
9.0,3261.814429,3143.569048163156,false,joint_ic_effect_two_population,partial_5pct,A2780cis,20k,0.67,IC25,0.25,theta_logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
