time,observed,prediction,best_model,cell_line,density,dose
9.0,2421.258526333333,1993.4906491033319,one_stage_transit_linear_kill,A2780cis,30k,0.67
10.0,1957.2380400000002,2223.422204808744,one_stage_transit_linear_kill,A2780cis,30k,0.67
11.0,2537.103395,2453.859238380829,one_stage_transit_linear_kill,A2780cis,30k,0.67
12.0,2244.322531,2685.5492481322062,one_stage_transit_linear_kill,A2780cis,30k,0.67
13.0,2827.4429400000004,2919.221480532715,one_stage_transit_linear_kill,A2780cis,30k,0.67
14.0,3433.938387333333,3155.589878570487,one_stage_transit_linear_kill,A2780cis,30k,0.67
1.0,117.62118066666666,117.62118066666666,anchored_linear_kill,A2780cis,30k,1.0
2.0,206.52970666666667,222.711976013061,anchored_linear_kill,A2780cis,30k,1.0
3.0,392.79753066666666,410.4138020119676,anchored_linear_kill,A2780cis,30k,1.0
4.0,793.1631946666666,721.8124112885646,anchored_linear_kill,A2780cis,30k,1.0
5.0,1328.3501159999998,1180.1738831258047,anchored_linear_kill,A2780cis,30k,1.0
6.0,1947.6582176666668,1748.537190130382,anchored_linear_kill,A2780cis,30k,1.0
7.0,2594.510609333334,2320.606986794906,anchored_linear_kill,A2780cis,30k,1.0
8.0,2352.0106483333334,2787.42129356953,anchored_linear_kill,A2780cis,30k,1.0
9.0,3220.0850306666666,3107.3885345283593,anchored_linear_kill,A2780cis,30k,1.0
10.0,2953.806751666667,3301.372025362225,anchored_linear_kill,A2780cis,30k,1.0
11.0,3595.1114196666663,3410.349176089054,anchored_linear_kill,A2780cis,30k,1.0
12.0,2534.660455333333,3468.964096741359,anchored_linear_kill,A2780cis,30k,1.0
13.0,3853.449228666667,3499.75442503678,anchored_linear_kill,A2780cis,30k,1.0
14.0,4116.669907333334,3515.7278154096566,anchored_linear_kill,A2780cis,30k,1.0
1.0,119.12291633333332,119.12291633333332,anchored_linear_kill,A2780cis,30k,1.47
2.0,208.10995366666666,227.922595046862,anchored_linear_kill,A2780cis,30k,1.47
3.0,381.1926696666667,423.958193353182,anchored_linear_kill,A2780cis,30k,1.47
4.0,731.6507716666666,750.9517697649798,anchored_linear_kill,A2780cis,30k,1.47
5.0,1291.6760416666666,1232.0325168632785,anchored_linear_kill,A2780cis,30k,1.47
6.0,1980.2315586666666,1823.4202382239653,anchored_linear_kill,A2780cis,30k,1.47
7.0,2670.8478393333335,2408.787177983467,anchored_linear_kill,A2780cis,30k,1.47
8.0,2545.009915,2876.250750987532,anchored_linear_kill,A2780cis,30k,1.47
9.0,3548.7987266666664,3189.6292289962907,anchored_linear_kill,A2780cis,30k,1.47
10.0,2897.7104553333334,3375.839582401497,anchored_linear_kill,A2780cis,30k,1.47
11.0,3797.833449333333,3478.6541131522404,anchored_linear_kill,A2780cis,30k,1.47
12.0,2884.930285666667,3533.1309698488353,anchored_linear_kill,A2780cis,30k,1.47
13.0,4146.366087666666,3561.3665732948757,anchored_linear_kill,A2780cis,30k,1.47
14.0,3326.884761,3575.8341003345276,anchored_linear_kill,A2780cis,30k,1.47
