Image,Cells µm^2,Confluency %,Perimeter µm,Unnamed: 4
25-75_co-cultureA2780_15and20_Day16_TX RED_Tile-4_A6.tif,3247.602083333333,73.76879167,18363.2,
25-75_co-cultureA2780_15and20_Day16_TX RED_Tile-4_B3.tif,3994.381944444444,90.73178361,44490.1,
25-75_co-cultureA2780_15and20_Day16_TX RED_Tile-4_B6.tif,3446.595138888889,78.28888892,44265.3,
25-75_co-cultureA2780_15and20_Day16_TX RED_Tile-4_C3.tif,3658.8576388888887,83.1103996,38794.9,
25-75_co-cultureA2780_15and20_Day16_TX RED_Tile-4_C6.tif,4198.104861111111,95.35931895,33784.1,
25-75_co-cultureA2780_15and20_Day16_TX RED_Tile-5_A3.tif,3381.811805555556,76.81734527,64267.5,
25-75_co-cultureA2780_15and20_Day16_TX RED_Tile-5_A6.tif,3881.272222222222,88.16251333,38146.2,
25-75_co-cultureA2780_15and20_Day16_TX RED_Tile-5_B3.tif,3573.5368055555555,81.17234974,56422.6,
25-75_co-cultureA2780_15and20_Day16_TX RED_Tile-5_B6.tif,3096.7854166666666,70.34301382,50619.2,
25-75_co-cultureA2780_15and20_Day16_TX RED_Tile-5_C3.tif,3344.807638888889,75.9768012,42622.1,
25-75_co-cultureA2780_15and20_Day16_TX RED_Tile-5_C6.tif,3595.55,81.67237613,1980.4,
25-75_co-cultureA2780_15and20_Day18_TX RED_Tile-0_A3.tif,4287.979166666667,97.40080025,870.71,89.68291756
25-75_co-cultureA2780_15and20_Day18_TX RED_Tile-0_A6.tif,3768.9555555555553,85.61125718,1529.4,93.1645834
25-75_co-cultureA2780_15and20_Day18_TX RED_Tile-0_B3.tif,3996.216666666666,90.77345905,964.61,83.37588203
25-75_co-cultureA2780_15and20_Day18_TX RED_Tile-0_B6.tif,3832.670833333333,87.05854011,1961.9,
25-75_co-cultureA2780_15and20_Day18_TX RED_Tile-0_C3.tif,4234.575000000001,96.18773266,1064.2,75.06676652
25-75_co-cultureA2780_15and20_Day18_TX RED_Tile-0_C6.tif,3223.16875,73.21379218,1626.2,79.18182174
25-75_co-cultureA2780_15and20_Day18_TX RED_Tile-1_A3.tif,4102.674305555555,93.19162827,884.94,79.73345868
25-75_co-cultureA2780_15and20_Day18_TX RED_Tile-1_A6.tif,3364.820833333333,76.4313979,2218.0,
25-75_co-cultureA2780_15and20_Day18_TX RED_Tile-1_B3.tif,4222.0256944444445,95.90267707,2246.5,
25-75_co-cultureA2780_15and20_Day18_TX RED_Tile-1_B6.tif,3893.131944444444,88.43190513,1098.3,
25-75_co-cultureA2780_15and20_Day18_TX RED_Tile-1_C3.tif,3317.6041666666665,75.35887843,1269.1,
25-75_co-cultureA2780_15and20_Day18_TX RED_Tile-1_C6.tif,3723.0576388888894,84.56869292,2869.6,
