source_group,source_file,density,mix_label,cell_line,model,parameter_name,parameter_value,sse,aic,bic,loss
treated_monoculture,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/Treated MonoCulture/outputs/treated_monoculture_model_bic_results.csv,20k,,A2780Naive,adaptive_ic50,IC50_0,0.7364,12203.431,262.12645,271.15976,
treated_monoculture,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/Treated MonoCulture/outputs/treated_monoculture_model_bic_results.csv,20k,,A2780Naive,adaptive_ic50,a,0.0105,12203.431,262.12645,271.15976,
treated_monoculture,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/Treated MonoCulture/outputs/treated_monoculture_model_bic_results.csv,20k,,A2780Naive,adaptive_ic50,b,1.6737,12203.431,262.12645,271.15976,
treated_monoculture,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/Treated MonoCulture/outputs/treated_monoculture_model_bic_results.csv,20k,,A2780Naive,adaptive_ic50,n,5.0037,12203.431,262.12645,271.15976,
treated_monoculture,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/Treated MonoCulture/outputs/treated_monoculture_model_bic_results.csv,20k,,A2780Naive,biexponential,lambda1,0,23318.605,287.26549,292.68548,
treated_monoculture,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/Treated MonoCulture/outputs/treated_monoculture_model_bic_results.csv,20k,,A2780Naive,biexponential,lambda2,0,23318.605,287.26549,292.68548,
treated_monoculture,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/Treated MonoCulture/outputs/treated_monoculture_model_bic_results.csv,20k,,A2780Naive,biexponential,w,0.9999,23318.605,287.26549,292.68548,
treated_monoculture,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/Treated MonoCulture/outputs/treated_monoculture_model_bic_results.csv,20k,,A2780Naive,damage_repair_arrest,K50,3.0356,746822.1,449.26139,460.10137,
treated_monoculture,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/Treated MonoCulture/outputs/treated_monoculture_model_bic_results.csv,20k,,A2780Naive,damage_repair_arrest,dA,1.9889,746822.1,449.26139,460.10137,
treated_monoculture,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/Treated MonoCulture/outputs/treated_monoculture_model_bic_results.csv,20k,,A2780Naive,damage_repair_arrest,k_arr,1.3937,746822.1,449.26139,460.10137,
